행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,행정동
천연동,서대문구,11410520,2388,15977,0.97,0.1725,0.167325,천연동
천호동,강동구,11740600,3749,29749,0.71,0.2432,0.172672,천호동
청구동,중구,11140645,1924,11835,0.34,0.1882,0.063988,청구동
청담동,강남구,11680565,3203,43384,2.33,0.2406,0.560598,청담동
청량리동,동대문구,11230705,3236,18344,1.2,0.2216,0.26592,청량리동
청운효자동,종로구,11110515,1378,17143,2.57,0.2144,0.551008,청운효자동
청파동,용산구,11170555,5218,21959,0.9,0.2219,0.19971,청파동
충현동,서대문구,11410565,3880,40110,1.12,0.1725,0.1932,충현동
평창동,종로구,11110560,1302,17452,8.87,0.2144,1.901728,평창동
풍납동,송파구,11710510,1869,15392,0.77,0.2068,0.159236,풍납동
필동,중구,11140570,1020,11329,1.14,0.1882,0.214548,필동
하계동,노원구,11350611,3265,25475,1.55,0.2371,0.367505,하계동
한강로동,용산구,11170625,3755,51779,2.9,0.2219,0.64351,한강로동
한남동,용산구,11170685,4154,31377,3.01,0.2219,0.667919,한남동
합정동,마포구,11440680,3699,23209,1.72,0.2861,0.492092,합정동
행당동,성동구,11200560,1930,19405,0.59,0.2309,0.136231,행당동
혜화동,종로구,11110650,4925,29878,1.12,0.2144,0.240128,혜화동
홍은동,서대문구,11410660,2538,14373,1.58,0.1725,0.27255,홍은동
홍제동,서대문구,11410620,2736,22770,1.23,0.1725,0.212175,홍제동
화곡동,강서구,11500590,5647,28260,0.98,0.2699,0.264502,화곡동
화양동,광진구,11215710,12704,38766,1.16,0.2883,0.334428,화양동
황학동,중구,11140670,2963,13221,0.33,0.1882,0.062106,황학동
회기동,동대문구,11230710,4044,19814,0.76,0.2216,0.168416,회기동
회현동,중구,11140540,867,25595,0.84,0.1882,0.158088,회현동
효창동,용산구,11170580,1082,9591,0.44,0.2219,0.097636,효창동
후암동,용산구,11170510,2800,13480,0.86,0.2219,0.190834,후암동
휘경동,동대문구,11230720,3336,16572,0.63,0.2216,0.139608,휘경동
흑석동,동작구,11590605,4562,31408,1.68,0.1729,0.290472,흑석동
