행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,행정동,,,,,
강남신사,강남구,11680510,1094,75610,2.53,0.2406,0.617358,가락동,,,,,
개포동,강남구,11680660,3888,49830,5.27,0.2406,1.267962,가리봉동,,,,,
논현동,강남구,11680521,11739,88619,2.72,0.2406,0.654432,가산동,,,,,
대치동,강남구,11680600,6426,119943,3.52,0.2406,0.846912,가양동,,,,,
도곡동,강남구,11680655,3280,65611,2.04,0.2406,0.490824,가회동,,,,,
삼성동,강남구,11680580,5669,84278,3.18,0.2406,0.765108,갈현동,,,,,
세곡동,강남구,11680700,4891,44886,6.36,0.2406,1.530216,강남신사,,,,,
수서동,강남구,11680750,3083,23720,1.43,0.2406,0.344058,강일동,,,,,
압구정동,강남구,11680545,1822,44405,2.53,0.2406,0.608718,개봉동,,,,,
역삼동,강남구,11680640,12735,109277,2.35,0.2406,0.56541,개포동,,,,,
일원동,강남구,11680720,923,24822,2.58,0.2406,0.620748,거여동,,,,,
청담동,강남구,11680565,3203,43384,2.33,0.2406,0.560598,고척동,,,,,
강일동,강동구,11740515,2081,51629,2.26,0.2432,0.549632,공덕동,,,,,
길동,강동구,11740685,6909,56112,2.17,0.2432,0.527744,공릉동,,,,,
둔촌동,강동구,11740690,2395,31547,1.9,0.2432,0.46208,공항동,,,,,
명일동,강동구,11740530,2461,42377,1.58,0.2432,0.384256,광장동,,,,,
성내동,강동구,11740640,10085,74561,1.96,0.2432,0.476672,광희동,,,,,
암사동,강동구,11740570,4551,27282,1.02,0.2432,0.248064,교남동,,,,,
천호동,강동구,11740600,3749,29749,0.71,0.2432,0.172672,구로동,,,,,
미아동,강북구,11305535,4807,22843,0.93,0.2093,0.194649,구산동,,,,,
번동,강북구,11305590,8632,45194,2.71,0.2093,0.567203,구의동,,,,,
수유동,강북구,11305575,17567,122683,5.11,0.2093,1.069523,군자동,,,,,
우이동,강북구,11305645,6373,47620,13.56,0.2093,2.838108,금호동,,,,,
가양동,강서구,11500603,17571,75209,6.2,0.2699,1.67338,길동,,,,,
공항동,강서구,11500620,4329,34201,10.87,0.2699,2.933813,길음동,,,,,
등촌동,강서구,11500520,13503,77863,2.35,0.2699,0.634265,남가좌동,,,,,
발산동,강서구,11500611,2152,35295,2.94,0.2699,0.793506,남영동,,,,,
방화동,강서구,11500630,11812,75010,10.44,0.2699,2.817756,남현동,,,,,
염창동,강서구,11500510,2993,30781,1.74,0.2699,0.469626,내곡동,,,,,
우장산동,강서구,11500615,2826,32164,1.36,0.2699,0.367064,노량진동,,,,,
화곡동,강서구,11500590,5647,28260,0.98,0.2699,0.264502,녹번동,,,,,
남현동,관악구,11620630,12518,73699,4.62,0.2531,1.173942,논현동,,,,,
봉천동,관악구,11620575,59604,197525,8.03,0.2531,2.040423,능동,,,,,
신림동,관악구,11620775,64393,212017,18.81,0.2531,4.754106,다산동,,,,,
광장동,광진구,11215810,1501,35627,2.39,0.2883,0.689037,답십리동,,,,,
구의동,광진구,11215850,11750,76407,2.97,0.2883,0.856251,당산동,,,,,
군자동,광진구,11215730,5546,19049,0.74,0.2883,0.213342,대림동,,,,,
능동,광진구,11215780,3251,14936,1.1,0.2883,0.31713,대방동,,,,,
자양동,광진구,11215820,4616,24247,0.57,0.2883,0.164331,대조동,,,,,
중곡동,광진구,11215740,3282,15042,0.62,0.2883,0.178746,대치동,,,,,
화양동,광진구,11215710,12704,38766,1.16,0.2883,0.334428,대흥동,,,,,
가리봉동,구로구,11530595,2849,11309,0.4,0.2206,0.08824,도곡동,,,,,
개봉동,구로구,11530740,7824,68040,2.92,0.2206,0.644152,도림동,,,,,
고척동,구로구,11530720,5132,39092,2.18,0.2206,0.480908,도봉동,,,,,
구로동,구로구,11530520,17133,109083,3.53,0.2206,0.778718,도화동,,,,,
수궁동,구로구,11530790,2086,22064,2.67,0.2206,0.589002,독산동,,,,,
신도림동,구로구,11530510,2324,32957,1.47,0.2206,0.324282,돈암동,,,,,
오류동,구로구,11530770,4624,14712,0.59,0.2206,0.130154,동선동,,,,,
가산동,금천구,11545510,9775,60073,2.52,0.2138,0.538776,동화동,,,,,
독산동,금천구,11545610,19213,81826,4.2,0.2138,0.89796,둔촌동,,,,,
시흥동,금천구,11545670,5285,27398,1.71,0.2138,0.365598,등촌동,,,,,
공릉동,노원구,11350595,12139,85386,8.23,0.2371,1.951333,마장동,,,,,
상계동,노원구,11350630,20848,201877,15.68,0.2371,3.717728,마천동,,,,,
월계동,노원구,11350560,3440,21766,1.16,0.2371,0.275036,망우동,,,,,
중계동,노원구,11350619,1105,20543,1.97,0.2371,0.467087,망원동,,,,,
하계동,노원구,11350611,3265,25475,1.55,0.2371,0.367505,면목동,,,,,
도봉동,도봉구,11320521,5958,37855,9.55,0.1902,1.81641,명동,,,,,
방학동,도봉구,11320690,7669,55198,4.05,0.1902,0.77031,명일동,,,,,
쌍문동,도봉구,11320660,2489,17033,1.24,0.1902,0.235848,목동,,,,,
창동,도봉구,11320511,16023,119552,13.85,0.1902,3.080571,무악동,,,,,
답십리동,동대문구,11230600,7165,45265,1.66,0.2216,0.367856,묵동,7165,45265,1.66,0.4432,0.367856
이문동,동대문구,11230740,5774,22796,1.04,0.2216,0.230464,문정동,,,,,
장안동,동대문구,11230650,5502,34611,1.25,0.2216,0.277,미아동,,,,,
전농동,동대문구,11230560,5814,29657,1.19,0.2216,0.263704,반포동,,,,,
제기동,동대문구,11230545,5399,32853,1.18,0.2216,0.261488,발산동,,,,,
청량리동,동대문구,11230705,3236,18344,1.2,0.2216,0.26592,방배동,,,,,
회기동,동대문구,11230710,4044,19814,0.76,0.2216,0.168416,방이동,,,,,
휘경동,동대문구,11230720,3336,16572,0.63,0.2216,0.139608,방학동,,,,,
노량진동,동작구,11590510,8668,53834,2.22,0.1729,0.383838,방화동,,,,,
대방동,동작구,11590660,6011,40643,1.55,0.1729,0.267995,번동,,,,,
사당동,동작구,11590620,16611,100694,5.41,0.1729,0.935389,보광동,,,,,
상도동,동작구,11590530,21449,104851,3.84,0.1729,0.663936,보문동,,,,,
신대방동,동작구,11590670,3128,16715,0.62,0.1729,0.107198,봉천동,,,,,
흑석동,동작구,11590605,4562,31408,1.68,0.1729,0.290472,부암동,,,,,
공덕동,마포구,11440565,6338,39172,1.01,0.2861,0.288961,북가좌동,,,,,
대흥동,마포구,11440600,4027,22159,0.87,0.2861,0.248907,북아현동,,,,,
도화동,마포구,11440585,2610,16878,0.62,0.2861,0.177382,불광동,,,,,
망원동,마포구,11440690,6227,37058,1.8,0.2861,0.51498,사근동,,,,,
상암동,마포구,11440740,3741,47615,8.4,0.2861,2.40324,사당동,,,,,
서교동,마포구,11440660,1178,74251,1.65,0.2861,0.472065,사직동,,,,,
성산동,마포구,11440720,3506,21778,0.8,0.2861,0.22888,삼선동,,,,,
신수동,마포구,11440630,3184,17843,0.78,0.2861,0.223158,삼성동,,,,,
아현동,마포구,11440555,2269,25447,0.76,0.2861,0.217436,삼전동,,,,,
연남동,마포구,11440710,4142,18810,0.64,0.2861,0.183104,삼청동,,,,,
염리동,마포구,11440610,1775,10856,0.44,0.2861,0.125884,상계동,,,,,
용강동,마포구,11440590,2388,31535,0.84,0.2861,0.240324,상도동,,,,,
합정동,마포구,11440680,3699,23209,1.72,0.2861,0.492092,상봉동,,,,,
남가좌동,서대문구,11410690,5179,25136,1.28,0.1725,0.2208,상암동,,,,,
북가좌동,서대문구,11410710,5635,51078,1.39,0.1725,0.239775,서교동,,,,,
북아현동,서대문구,11410555,2261,37843,0.46,0.1725,0.07935,서빙고동,,,,,
신촌동,서대문구,11410585,9002,54462,2.63,0.1725,0.453675,서초동,,,,,
연희동,서대문구,11410615,9005,35821,3.05,0.1725,0.526125,석관동,,,,,
천연동,서대문구,11410520,2388,15977,0.97,0.1725,0.167325,석촌동,,,,,
충현동,서대문구,11410565,3880,40110,1.12,0.1725,0.1932,성내동,,,,,
홍은동,서대문구,11410660,2538,14373,1.58,0.1725,0.27255,성북동,,,,,
홍제동,서대문구,11410620,2736,22770,1.23,0.1725,0.212175,성산동,,,,,
내곡동,서초구,11650660,1583,25426,12.68,0.2635,3.34118,성수동,,,,,
반포동,서초구,11650550,7775,119026,6.07,0.2635,1.599445,세곡동,,,,,
방배동,서초구,11650590,10240,104168,6.68,0.2635,1.76018,소공동,,,,,
서초동,서초구,11650510,12821,185510,6.47,0.2635,1.704845,송정동,,,,,
양재동,서초구,11650651,4776,53856,5.76,0.2635,1.51776,송파동,,,,,
잠원동,서초구,11650540,2809,33623,1.76,0.2635,0.46376,수궁동,,,,,
금호동,성동구,11200590,5681,47140,1.94,0.2309,0.447946,수색동,,,,,
마장동,성동구,11200540,3674,21357,1.05,0.2309,0.242445,수서동,,,,,
사근동,성동구,11200550,4754,22798,1.1,0.2309,0.25399,수유동,,,,,
