사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 10월 7일 05시,서울특별시 송파구 가락동,사망사고,1,0,0,0,승용,상해없음,보행자,사망
2019년 10월 7일 06시,서울특별시 중구 쌍림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 7일 06시,서울특별시 종로구 부암동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 08시,서울특별시 동작구 상도1동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 08시,서울특별시 도봉구 방학동,중상사고,0,1,2,0,승용,경상,화물,경상
2019년 10월 7일 10시,서울특별시 중랑구 신내동,중상사고,0,1,0,0,화물,상해없음,화물,중상
2019년 10월 7일 10시,서울특별시 노원구 공릉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 7일 11시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 7일 11시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 12시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 12시,서울특별시 동대문구 이문동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 7일 13시,서울특별시 노원구 월계동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 7일 14시,서울특별시 서대문구 연희동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 7일 15시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 7일 15시,서울특별시 서초구 반포동,중상사고,0,1,1,0,승용,상해없음,,
2019년 10월 7일 16시,서울특별시 은평구 응암동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 7일 16시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 17시,서울특별시 강동구 천호동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 18시,서울특별시 광진구 자양동,중상사고,0,1,1,0,특수,상해없음,보행자,경상
2019년 10월 7일 19시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 7일 20시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 7일 21시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 7일 21시,서울특별시 구로구 구로동,중상사고,0,1,3,0,승용,상해없음,승용,중상
2019년 10월 7일 23시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 05시,서울특별시 구로구 가리봉동,중상사고,0,1,4,0,승용,경상,승용,중상
2019년 10월 8일 06시,서울특별시 강동구 천호동,사망사고,1,0,0,0,승용,상해없음,보행자,사망
2019년 10월 8일 07시,서울특별시 성북구 정릉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 8일 07시,서울특별시 서초구 서초동,중상사고,0,2,0,0,화물,상해없음,승용,중상
2019년 10월 8일 08시,서울특별시 송파구 송파동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 8일 08시,서울특별시 은평구 역촌동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 08시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 09시,서울특별시 강서구 화곡동,중상사고,0,1,0,0,승용,상해없음,승합,상해없음
2019년 10월 8일 09시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 8일 10시,서울특별시 성북구 하월곡동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 8일 10시,서울특별시 노원구 하계동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 12시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 8일 13시,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 8일 13시,서울특별시 도봉구 창동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 8일 14시,서울특별시 성북구 정릉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 8일 14시,서울특별시 노원구 상계동,중상사고,0,1,1,0,건설기계,상해없음,승용,경상
2019년 10월 8일 14시,서울특별시 은평구 불광동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 8일 15시,서울특별시 영등포구 여의도동,중상사고,0,3,2,3,승용,상해없음,승용,중상
2019년 10월 8일 15시,서울특별시 노원구 월계동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 15시,서울특별시 노원구 중계동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 10월 8일 17시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 8일 17시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승합,상해없음,자전거,중상
2019년 10월 8일 17시,서울특별시 노원구 상계동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 8일 18시,서울특별시 금천구 독산동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 8일 18시,서울특별시 강남구 논현동,중상사고,0,2,2,0,승용,상해없음,승용,중상
2019년 10월 8일 18시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 8일 19시,서울특별시 종로구 명륜1가,중상사고,0,1,0,0,원동기,상해없음,보행자,중상
2019년 10월 8일 19시,서울특별시 은평구 응암동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 8일 19시,서울특별시 성동구 옥수동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 8일 19시,서울특별시 성동구 성수동1가,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 8일 19시,서울특별시 은평구 대조동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 20시,서울특별시 성북구 하월곡동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 10월 8일 20시,서울특별시 금천구 가산동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 8일 20시,서울특별시 서초구 잠원동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 8일 21시,서울특별시 강동구 천호동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 8일 21시,서울특별시 은평구 역촌동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 8일 22시,서울특별시 관악구 봉천동,중상사고,0,1,1,0,이륜,중상,승용,상해없음
2019년 10월 8일 23시,서울특별시 중랑구 면목동,중상사고,0,1,1,1,승용,상해없음,화물,상해없음
2019년 10월 8일 23시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 8일 23시,서울특별시 송파구 송파동,중상사고,0,1,1,0,승용,상해없음,승용,경상
2019년 10월 9일 00시,서울특별시 송파구 문정동,중상사고,0,2,1,0,승용,상해없음,승용,경상
2019년 10월 9일 01시,서울특별시 중구 신당동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 9일 01시,서울특별시 동작구 상도1동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 01시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 03시,서울특별시 종로구 와룡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 03시,서울특별시 마포구 서교동,중상사고,0,2,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 04시,서울특별시 용산구 용산동5가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 04시,서울특별시 강남구 논현동,중상사고,0,1,1,0,승용,상해없음,화물,경상
2019년 10월 9일 04시,서울특별시 송파구 잠실동,중상사고,0,2,2,0,승용,경상,승용,중상
2019년 10월 9일 06시,서울특별시 구로구 천왕동,사망사고,1,0,0,0,승용,상해없음,보행자,사망
2019년 10월 9일 06시,서울특별시 서초구 반포동,중상사고,0,2,1,0,화물,상해없음,승용,중상
2019년 10월 9일 07시,서울특별시 노원구 하계동,중상사고,0,1,0,0,자전거,중상,화물,상해없음
2019년 10월 9일 11시,서울특별시 송파구 송파동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 13시,서울특별시 성북구 종암동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 9일 13시,서울특별시 마포구 성산동,중상사고,0,1,1,0,이륜,중상,승용,경상
2019년 10월 9일 13시,서울특별시 동작구 노량진동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
2019년 10월 9일 13시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 9일 14시,서울특별시 마포구 상암동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 9일 15시,서울특별시 광진구 중곡동,중상사고,0,1,0,0,원동기,중상,승용,상해없음
2019년 10월 9일 15시,서울특별시 영등포구 영등포동4가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 9일 15시,서울특별시 구로구 구로동,중상사고,0,1,1,0,이륜,경상,이륜,중상
2019년 10월 9일 16시,서울특별시 관악구 신림동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 10월 9일 16시,서울특별시 노원구 상계동,중상사고,0,1,0,0,자전거,중상,승용,상해없음
2019년 10월 9일 19시,서울특별시 중랑구 묵동,중상사고,0,1,2,0,이륜,중상,승용,경상
2019년 10월 9일 20시,서울특별시 중구 쌍림동,중상사고,0,1,1,0,승용,상해없음,승용,중상
2019년 10월 9일 20시,서울특별시 영등포구 당산동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 9일 20시,서울특별시 중랑구 면목동,중상사고,0,1,0,1,승용,부상신고,승용,중상
2019년 10월 9일 20시,서울특별시 강서구 개화동,중상사고,0,1,2,0,이륜,중상,화물,경상
2019년 10월 9일 21시,서울특별시 동대문구 전농동,중상사고,0,1,1,0,승용,상해없음,승용,중상
2019년 10월 9일 22시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 9일 22시,서울특별시 영등포구 영등포동3가,중상사고,0,3,0,0,승용,상해없음,승용,중상
2019년 10월 9일 23시,서울특별시 송파구 신천동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 01시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,이륜,중상,이륜,기타불명
2019년 10월 10일 05시,서울특별시 송파구 삼전동,중상사고,0,1,0,0,자전거,중상,승용,상해없음
2019년 10월 10일 06시,서울특별시 강남구 세곡동,중상사고,0,1,1,0,승용,상해없음,승용,중상
2019년 10월 10일 07시,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,승용,상해없음,승용,상해없음
2019년 10월 10일 08시,서울특별시 마포구 성산동,중상사고,0,1,0,0,화물,상해없음,,
2019년 10월 10일 09시,서울특별시 마포구 동교동,중상사고,0,1,0,0,화물,상해없음,원동기,중상
2019년 10월 10일 09시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 10일 09시,서울특별시 중랑구 신내동,중상사고,0,1,1,0,이륜,중상,승용,경상
2019년 10월 10일 09시,서울특별시 강동구 명일동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 10일 10시,서울특별시 용산구 한강로3가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 10일 10시,서울특별시 강동구 암사동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 10일 11시,서울특별시 강서구 등촌동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 10일 13시,서울특별시 금천구 시흥동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 13시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 14시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 10일 14시,서울특별시 성동구 금호동3가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 14시,서울특별시 송파구 석촌동,중상사고,0,1,0,0,개인형이동수단(PM),상해없음,보행자,중상
2019년 10월 10일 15시,서울특별시 은평구 응암동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 10일 15시,서울특별시 용산구 보광동,중상사고,0,1,0,0,승용,기타불명,보행자,중상
2019년 10월 10일 15시,서울특별시 관악구 신림동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 10일 15시,서울특별시 송파구 문정동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 17시,서울특별시 은평구 증산동,중상사고,0,1,2,0,자전거,경상,보행자,중상
2019년 10월 10일 17시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 10일 17시,서울특별시 은평구 불광동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 18시,서울특별시 종로구 구기동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 18시,서울특별시 광진구 군자동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 10일 19시,서울특별시 동대문구 휘경동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 10일 20시,서울특별시 마포구 신수동,중상사고,0,1,1,0,이륜,중상,승용,경상
2019년 10월 10일 20시,서울특별시 송파구 방이동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 10월 10일 21시,서울특별시 강남구 압구정동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 10일 21시,서울특별시 강동구 길동,중상사고,0,1,0,0,승용,기타불명,자전거,중상
2019년 10월 10일 23시,서울특별시 중구 을지로7가,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 10월 11일 01시,서울특별시 용산구 이태원동,중상사고,0,1,0,0,승용,상해없음,,
2019년 10월 11일 01시,서울특별시 강서구 가양동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 11일 01시,서울특별시 도봉구 방학동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 11일 05시,서울특별시 강동구 길동,중상사고,0,2,0,0,승합,상해없음,화물,중상
2019년 10월 11일 07시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 07시,서울특별시 서초구 방배동,중상사고,0,1,9,1,승합,경상,승용,중상
2019년 10월 11일 08시,서울특별시 종로구 창신동,중상사고,0,1,0,0,원동기,상해없음,보행자,중상
2019년 10월 11일 08시,서울특별시 서대문구 북가좌동,중상사고,0,1,3,0,승용,상해없음,승합,상해없음
2019년 10월 11일 08시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 11일 08시,서울특별시 강서구 화곡동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 11일 09시,서울특별시 도봉구 도봉동,중상사고,0,1,1,0,이륜,경상,승합,상해없음
2019년 10월 11일 10시,서울특별시 금천구 독산동,사망사고,1,0,0,0,승용,사망,,
2019년 10월 11일 11시,서울특별시 강동구 암사동,중상사고,0,1,0,0,원동기,상해없음,자전거,중상
2019년 10월 11일 12시,서울특별시 강북구 수유동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 11일 12시,서울특별시 마포구 노고산동,중상사고,0,1,0,0,승용,기타불명,이륜,중상
2019년 10월 11일 13시,서울특별시 영등포구 당산동4가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 14시,서울특별시 종로구 세종로,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 14시,서울특별시 영등포구 영등포동4가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 15시,서울특별시 종로구 통의동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 15시,서울특별시 영등포구 영등포동2가,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 11일 15시,서울특별시 강서구 마곡동,중상사고,0,1,1,0,원동기,중상,승용,상해없음
2019년 10월 11일 17시,서울특별시 광진구 군자동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 11일 17시,서울특별시 양천구 목동,중상사고,0,1,0,0,승용,기타불명,승용,중상
2019년 10월 11일 18시,서울특별시 성동구 행당동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 11일 18시,서울특별시 도봉구 방학동,중상사고,0,1,0,0,기타불명,기타불명,자전거,중상
2019년 10월 11일 18시,서울특별시 은평구 갈현동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 11일 19시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 11일 19시,서울특별시 금천구 가산동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 11일 19시,서울특별시 은평구 진관동,중상사고,0,2,5,0,승용,상해없음,승용,경상
2019년 10월 11일 20시,서울특별시 동대문구 용두동,사망사고,1,0,0,0,승용,상해없음,이륜,사망
2019년 10월 11일 20시,서울특별시 마포구 서교동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 10월 11일 20시,서울특별시 금천구 시흥동,중상사고,0,1,1,0,승합,경상,이륜,중상
2019년 10월 11일 21시,서울특별시 광진구 중곡동,중상사고,0,1,2,0,승용,상해없음,승용,경상
2019년 10월 11일 21시,서울특별시 영등포구 양평동4가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 21시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 22시,서울특별시 은평구 증산동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 11일 22시,서울특별시 강서구 내발산동,중상사고,0,1,0,0,이륜,상해없음,승용,중상
2019년 10월 11일 23시,서울특별시 금천구 시흥동,중상사고,0,2,2,0,승용,경상,,
2019년 10월 12일 01시,서울특별시 도봉구 도봉동,중상사고,0,1,3,0,승용,상해없음,승합,경상
2019년 10월 12일 04시,서울특별시 중구 남대문로4가,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 12일 05시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,이륜,중상,화물,상해없음
2019년 10월 12일 07시,서울특별시 성동구 성수동2가,사망사고,1,0,0,0,승용,상해없음,자전거,사망
2019년 10월 12일 08시,서울특별시 마포구 창전동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
2019년 10월 12일 09시,서울특별시 동작구 노량진동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 12일 10시,서울특별시 성북구 동소문동7가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 12일 11시,서울특별시 서대문구 남가좌동,중상사고,0,1,16,0,건설기계,상해없음,승합,경상
2019년 10월 12일 12시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 12일 12시,서울특별시 강남구 대치동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
2019년 10월 12일 13시,서울특별시 광진구 군자동,중상사고,0,1,0,0,원동기,중상,승용,상해없음
2019년 10월 12일 13시,서울특별시 영등포구 당산동6가,중상사고,0,1,1,0,자전거,경상,자전거,중상
2019년 10월 12일 13시,서울특별시 동작구 노량진동,중상사고,0,1,1,0,승용,경상,승용,중상
2019년 10월 12일 14시,서울특별시 서대문구 신촌동,중상사고,0,1,0,0,승합,상해없음,원동기,중상
2019년 10월 12일 14시,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 10월 12일 14시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 12일 14시,서울특별시 송파구 송파동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 12일 15시,서울특별시 종로구 종로3가,중상사고,0,1,6,1,승용,상해없음,승합,경상
2019년 10월 12일 15시,서울특별시 구로구 구로동,중상사고,0,1,2,0,승용,상해없음,승용,중상
2019년 10월 12일 15시,서울특별시 도봉구 방학동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 12일 16시,서울특별시 노원구 공릉동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
2019년 10월 12일 17시,서울특별시 도봉구 창동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 12일 18시,서울특별시 성북구 돈암동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 12일 18시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 12일 19시,서울특별시 종로구 연건동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 12일 19시,서울특별시 동작구 사당동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 12일 20시,서울특별시 중구 쌍림동,중상사고,0,1,3,0,승용,상해없음,승용,경상
2019년 10월 12일 20시,서울특별시 은평구 녹번동,중상사고,0,1,1,0,승용,기타불명,승용,중상
2019년 10월 12일 20시,서울특별시 강서구 염창동,중상사고,0,2,0,1,승합,상해없음,이륜,중상
2019년 10월 12일 21시,서울특별시 성동구 사근동,중상사고,0,1,1,0,승용,상해없음,승용,경상
2019년 10월 12일 22시,서울특별시 송파구 가락동,중상사고,0,1,0,1,원동기,부상신고,보행자,중상
2019년 10월 12일 23시,서울특별시 용산구 한남동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 01시,서울특별시 동작구 신대방동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 13일 01시,서울특별시 강남구 신사동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 02시,서울특별시 광진구 화양동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 10월 13일 09시,서울특별시 강남구 청담동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 13일 10시,서울특별시 강서구 염창동,중상사고,0,1,2,0,승용,경상,승합,상해없음
2019년 10월 13일 11시,서울특별시 동대문구 이문동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 13시,서울특별시 영등포구 영등포동6가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 13일 14시,서울특별시 강남구 삼성동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 14시,서울특별시 노원구 공릉동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
2019년 10월 13일 14시,서울특별시 노원구 상계동,중상사고,0,1,0,1,이륜,중상,승용,상해없음
2019년 10월 13일 15시,서울특별시 노원구 상계동,중상사고,0,1,2,0,승용,중상,승용,경상
2019년 10월 13일 16시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,자전거,상해없음,자전거,상해없음
2019년 10월 13일 16시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 13일 17시,서울특별시 성북구 동소문동3가,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
2019년 10월 13일 17시,서울특별시 강남구 논현동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 19시,서울특별시 동대문구 전농동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 13일 21시,서울특별시 강동구 둔촌동,중상사고,0,1,0,0,화물,상해없음,승용,중상
2019년 10월 13일 21시,서울특별시 양천구 신월동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 21시,서울특별시 강남구 수서동,중상사고,0,3,0,0,승용,상해없음,승용,중상
2019년 10월 13일 22시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 13일 23시,서울특별시 성북구 삼선동1가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 13일 23시,서울특별시 구로구 구로동,중상사고,0,1,1,0,승용,상해없음,보행자,중상
2019년 10월 14일 05시,서울특별시 성동구 성수동2가,중상사고,0,1,0,0,승용,상해없음,승합,중상
2019년 10월 14일 06시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 14일 08시,서울특별시 종로구 창신동,중상사고,0,1,0,0,화물,상해없음,원동기,중상
2019년 10월 14일 08시,서울특별시 동대문구 회기동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 14일 08시,서울특별시 마포구 동교동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 14일 08시,서울특별시 양천구 목동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 10월 14일 09시,서울특별시 중구 신당동,중상사고,0,1,0,0,기타불명,기타불명,이륜,중상
2019년 10월 14일 09시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 10월 14일 11시,서울특별시 마포구 대흥동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 14일 11시,서울특별시 영등포구 양평동1가,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 10월 14일 12시,서울특별시 서대문구 북가좌동,사망사고,1,0,0,0,승용,사망,,
2019년 10월 14일 12시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 10월 14일 12시,서울특별시 종로구 숭인동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 14일 13시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,상해없음,화물,중상
2019년 10월 14일 13시,서울특별시 강남구 일원동,중상사고,0,2,0,0,승용,중상,승용,중상
2019년 10월 14일 14시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 14일 15시,서울특별시 중구 장충동2가,중상사고,0,1,0,1,화물,상해없음,이륜,부상신고
2019년 10월 14일 15시,서울특별시 송파구 풍납동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 10월 14일 15시,서울특별시 도봉구 도봉동,중상사고,0,1,1,0,승용,상해없음,보행자,중상
2019년 10월 14일 16시,서울특별시 영등포구 도림동,중상사고,0,1,0,0,승합,상해없음,,
2019년 10월 14일 16시,서울특별시 중랑구 중화동,중상사고,0,1,0,0,승합,상해없음,자전거,중상
2019년 10월 14일 16시,서울특별시 관악구 봉천동,중상사고,0,1,1,0,승용,상해없음,이륜,중상
2019년 10월 14일 16시,서울특별시 강서구 내발산동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 14일 16시,서울특별시 은평구 대조동,중상사고,0,3,0,1,화물,상해없음,승용,중상
2019년 10월 14일 17시,서울특별시 중랑구 묵동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 14일 17시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 14일 19시,서울특별시 송파구 거여동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 10월 14일 19시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 10월 14일 20시,서울특별시 광진구 구의동,중상사고,0,2,0,0,자전거,중상,자전거,중상
2019년 10월 14일 20시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 10월 14일 20시,서울특별시 동작구 상도동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
2019년 10월 14일 20시,서울특별시 성북구 장위동,중상사고,0,1,0,0,자전거,중상,화물,상해없음
