사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 3일 00시,서울특별시 은평구 갈현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 3일 01시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 01시,서울특별시 강남구 압구정동,중상사고,0,2,4,1,승용,상해없음,승용,부상신고
2019년 1월 3일 04시,서울특별시 광진구 자양동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 3일 06시,서울특별시 중구 봉래동2가,중상사고,0,1,0,0,승합,상해없음,,
2019년 1월 3일 06시,서울특별시 양천구 목동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 3일 08시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 3일 08시,서울특별시 서초구 우면동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 3일 09시,서울특별시 용산구 한남동,중상사고,0,1,0,0,승용,상해없음,승합,상해없음
2019년 1월 3일 09시,서울특별시 영등포구 영등포동2가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 3일 09시,서울특별시 성동구 금호동4가,중상사고,0,1,6,0,승용,경상,승합,경상
2019년 1월 3일 09시,서울특별시 강서구 화곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 09시,서울특별시 도봉구 방학동,중상사고,0,1,0,0,승용,상해없음,자전거,중상
2019년 1월 3일 10시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 3일 11시,서울특별시 은평구 진관동,중상사고,0,1,0,0,승합,상해없음,,
2019년 1월 3일 11시,서울특별시 은평구 역촌동,중상사고,0,1,0,0,화물,상해없음,자전거,중상
2019년 1월 3일 12시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 3일 12시,서울특별시 관악구 신림동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
