,index,사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
5643,19464,2021년 2월 26일 11시,서울특별시 송파구 삼전동,중상사고,0,1,2,1,이륜,경상,승용,중상
5644,19470,2021년 2월 26일 18시,서울특별시 종로구 재동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5645,19473,2021년 2월 26일 19시,서울특별시 광진구 자양동,중상사고,0,1,0,0,승용,기타불명,이륜,중상
5646,19478,2021년 2월 27일 01시,서울특별시 양천구 신정동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5647,19486,2021년 2월 27일 14시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5648,19490,2021년 2월 27일 18시,서울특별시 강남구 도곡동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5649,19499,2021년 2월 28일 00시,서울특별시 관악구 신림동,중상사고,0,1,1,0,승용,경상,이륜,중상
5650,19501,2021년 2월 28일 11시,서울특별시 성북구 안암동5가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5651,19505,2021년 2월 28일 12시,서울특별시 중구 예장동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5652,19508,2021년 2월 28일 20시,서울특별시 동대문구 전농동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5653,19510,2021년 2월 28일 20시,서울특별시 노원구 상계동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5654,19511,2021년 2월 28일 23시,서울특별시 노원구 하계동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5655,19514,2021년 3월 1일 12시,서울특별시 양천구 신월동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5656,19521,2021년 3월 1일 19시,서울특별시 은평구 불광동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5657,19523,2021년 3월 1일 20시,서울특별시 강서구 방화동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5658,19527,2021년 3월 2일 01시,서울특별시 영등포구 도림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5659,19528,2021년 3월 2일 08시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5660,19531,2021년 3월 2일 10시,서울특별시 종로구 견지동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5661,19532,2021년 3월 2일 11시,서울특별시 구로구 신도림동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5662,19535,2021년 3월 2일 16시,서울특별시 구로구 개봉동,중상사고,0,1,1,0,이륜,중상,화물,경상
5663,19541,2021년 3월 2일 21시,서울특별시 강남구 역삼동,중상사고,0,2,0,0,이륜,중상,이륜,중상
5664,19544,2021년 3월 2일 22시,서울특별시 양천구 신월동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5665,19545,2021년 3월 3일 03시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5666,19554,2021년 3월 3일 11시,서울특별시 강남구 논현동,중상사고,0,1,1,0,이륜,중상,승용,경상
5667,19556,2021년 3월 3일 13시,서울특별시 구로구 궁동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5668,19558,2021년 3월 3일 17시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5669,19561,2021년 3월 3일 19시,서울특별시 강북구 수유동,중상사고,0,1,1,0,원동기,경상,이륜,중상
5670,19565,2021년 3월 4일 00시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5671,19567,2021년 3월 4일 06시,서울특별시 영등포구 당산동3가,중상사고,0,1,0,0,자전거,중상,이륜,상해없음
5672,19570,2021년 3월 4일 10시,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5673,19572,2021년 3월 4일 10시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5674,19574,2021년 3월 4일 18시,서울특별시 서초구 신원동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5675,19575,2021년 3월 4일 19시,서울특별시 서대문구 현저동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5676,19576,2021년 3월 4일 19시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5677,19577,2021년 3월 4일 19시,서울특별시 금천구 독산동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5678,19583,2021년 3월 5일 01시,서울특별시 성북구 장위동,사망사고,1,0,0,0,이륜,사망,,
5679,19594,2021년 3월 5일 16시,서울특별시 은평구 갈현동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5680,19606,2021년 3월 6일 02시,서울특별시 구로구 가리봉동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5681,19607,2021년 3월 6일 03시,서울특별시 은평구 불광동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5682,19614,2021년 3월 6일 12시,서울특별시 마포구 공덕동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5683,19615,2021년 3월 6일 13시,서울특별시 은평구 녹번동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
5684,19617,2021년 3월 6일 14시,서울특별시 은평구 역촌동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5685,19622,2021년 3월 6일 19시,서울특별시 동대문구 이문동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5686,19629,2021년 3월 7일 11시,서울특별시 용산구 한강로3가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5687,19630,2021년 3월 7일 12시,서울특별시 영등포구 문래동4가,중상사고,0,1,0,2,이륜,중상,승용,부상신고
5688,19631,2021년 3월 7일 12시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5689,19632,2021년 3월 7일 12시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5690,19633,2021년 3월 7일 14시,서울특별시 송파구 신천동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5691,19636,2021년 3월 8일 03시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5692,19643,2021년 3월 8일 13시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5693,19646,2021년 3월 8일 16시,서울특별시 송파구 송파동,중상사고,0,2,0,0,이륜,중상,승합,상해없음
5694,19647,2021년 3월 8일 16시,서울특별시 양천구 신월동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5695,19649,2021년 3월 8일 18시,서울특별시 서대문구 대현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5696,19653,2021년 3월 9일 01시,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5697,19656,2021년 3월 9일 10시,서울특별시 성북구 장위동,사망사고,1,0,0,0,승용,상해없음,이륜,사망
5698,19661,2021년 3월 9일 14시,서울특별시 강남구 대치동,중상사고,0,1,0,0,기타불명,기타불명,이륜,중상
5699,19664,2021년 3월 9일 15시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5700,19665,2021년 3월 9일 18시,서울특별시 서초구 서초동,중상사고,0,1,0,0,이륜,기타불명,이륜,중상
5701,19668,2021년 3월 9일 22시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5702,19669,2021년 3월 9일 22시,서울특별시 양천구 신정동,중상사고,0,1,1,0,승용,상해없음,이륜,경상
5703,19678,2021년 3월 10일 10시,서울특별시 마포구 신공덕동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5704,19681,2021년 3월 10일 11시,서울특별시 성북구 종암동,중상사고,0,1,1,0,이륜,경상,이륜,중상
5705,19682,2021년 3월 10일 13시,서울특별시 강남구 대치동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5706,19687,2021년 3월 10일 21시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5707,19688,2021년 3월 10일 21시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승합,상해없음,이륜,중상
5708,19690,2021년 3월 10일 21시,서울특별시 은평구 불광동,중상사고,0,1,1,0,승용,경상,이륜,중상
5709,19692,2021년 3월 10일 22시,서울특별시 송파구 가락동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5710,19699,2021년 3월 11일 05시,서울특별시 노원구 상계동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5711,19700,2021년 3월 11일 08시,서울특별시 용산구 남영동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5712,19701,2021년 3월 11일 10시,서울특별시 구로구 개봉동,중상사고,0,1,0,0,이륜,중상,승합,상해없음
5713,19706,2021년 3월 11일 14시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5714,19708,2021년 3월 11일 17시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5715,19711,2021년 3월 11일 18시,서울특별시 중랑구 묵동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5716,19712,2021년 3월 11일 18시,서울특별시 서초구 서초동,중상사고,0,1,1,0,이륜,중상,승용,경상
5717,19713,2021년 3월 11일 20시,서울특별시 강북구 번동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5718,19720,2021년 3월 11일 23시,서울특별시 노원구 중계동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5719,19721,2021년 3월 12일 00시,서울특별시 송파구 가락동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5720,19723,2021년 3월 12일 11시,서울특별시 성동구 마장동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5721,19727,2021년 3월 12일 12시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5722,19730,2021년 3월 12일 19시,서울특별시 강동구 천호동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5723,19738,2021년 3월 13일 09시,서울특별시 용산구 용문동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5724,19741,2021년 3월 13일 09시,서울특별시 은평구 대조동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5725,19744,2021년 3월 13일 12시,서울특별시 강북구 수유동,중상사고,0,1,1,0,승용,경상,이륜,중상
5726,19747,2021년 3월 13일 14시,서울특별시 강북구 수유동,중상사고,0,2,0,0,이륜,상해없음,승용,중상
5727,19750,2021년 3월 13일 15시,서울특별시 광진구 자양동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5728,19751,2021년 3월 13일 15시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
