,자치구,행정동,사망자수,중상자수,경상자수
189,관악구,신림동,0,1,0
190,은평구,역촌동,0,2,0
191,송파구,방이동,0,1,1
192,은평구,진관동,0,1,0
193,노원구,상계동,0,1,0
194,중랑구,신내동,0,1,0
195,용산구,한남동,0,1,0
196,은평구,역촌동,0,1,0
197,양천구,신정동,0,1,0
198,송파구,풍납동,0,1,0
199,강남구,삼성동,0,1,0
200,도봉구,쌍문동,0,1,0
201,중구,신당동,0,1,0
202,강북구,번동,0,1,0
203,영등포구,대림동,0,1,0
204,구로구,항동,0,1,0
205,송파구,마천동,0,1,0
206,강북구,수유동,0,1,0
207,중랑구,상봉동,0,1,0
208,동대문구,답십리동,0,1,0
209,광진구,군자동,0,1,1
210,광진구,자양동,0,1,1
211,강남구,청담동,0,1,0
212,동작구,노량진동,0,1,0
213,용산구,보광동,0,1,0
214,은평구,신사동,0,1,0
215,중랑구,면목동,0,1,0
216,구로구,구로동,0,1,1
217,강서구,등촌동,0,1,0
218,용산구,이태원동,0,1,0
219,관악구,신림동,0,1,0
220,강서구,마곡동,0,1,0
221,용산구,이태원동,0,1,0
222,중랑구,면목동,0,1,0
223,노원구,하계동,0,1,0
224,동대문구,이문동,0,1,0
225,관악구,신림동,0,1,0
226,송파구,방이동,0,1,0
227,영등포구,당산동1가,0,1,0
228,관악구,신림동,0,1,1
229,강서구,등촌동,0,1,0
230,서초구,잠원동,0,1,0
231,도봉구,도봉동,0,1,0
232,강남구,도곡동,1,0,0
233,용산구,동빙고동,0,1,0
234,강서구,외발산동,0,1,0
235,중구,충정로1가,0,1,0
236,서대문구,남가좌동,0,1,0
237,동대문구,이문동,0,1,1
238,강남구,논현동,0,1,0
239,강남구,논현동,0,2,0
240,성동구,성수동1가,0,1,0
241,동대문구,용두동,0,1,0
242,은평구,역촌동,0,1,0
243,강남구,청담동,0,1,0
244,중구,신당동,0,1,0
245,구로구,구로동,0,1,0
246,구로구,고척동,0,1,0
247,노원구,공릉동,0,1,0
248,동대문구,장안동,0,2,0
249,강동구,천호동,0,1,0
250,송파구,문정동,0,1,0
251,동작구,상도동,0,1,0
252,광진구,구의동,0,1,3
253,구로구,고척동,0,1,0
254,금천구,시흥동,0,1,1
255,금천구,독산동,0,1,0
256,중랑구,신내동,0,1,0
257,서초구,잠원동,0,1,0
258,영등포구,신길동,0,1,0
259,송파구,석촌동,0,1,0
260,용산구,이촌동,0,1,0
261,강남구,신사동,0,1,0
262,서대문구,충정로3가,0,1,0
263,노원구,하계동,0,1,0
264,금천구,독산동,0,1,1
265,용산구,한남동,0,1,0
266,영등포구,영등포동4가,0,1,0
267,광진구,자양동,0,1,0
268,영등포구,영등포동6가,0,1,0
269,용산구,보광동,0,1,0
270,중구,신당동,0,1,0
271,구로구,오류동,0,1,0
272,중랑구,묵동,0,1,0
273,강북구,미아동,0,1,0
274,강서구,등촌동,0,1,0
275,노원구,중계동,0,2,0
276,강남구,역삼동,0,1,0
277,강서구,가양동,0,1,1
278,영등포구,영등포동3가,0,1,0
279,강서구,화곡동,0,1,0
280,성동구,금호동1가,0,1,0
281,성북구,정릉동,0,1,0
282,은평구,불광동,0,1,0
283,성동구,옥수동,0,1,0
284,노원구,공릉동,0,1,0
285,강남구,개포동,0,1,1
286,강동구,암사동,0,1,1
287,강남구,신사동,0,1,0
288,용산구,한남동,0,1,0
289,용산구,이태원동,0,1,0
290,구로구,신도림동,0,1,0
291,서초구,방배동,0,1,0
292,관악구,신림동,0,1,0
293,강서구,화곡동,0,1,0
294,관악구,신림동,0,1,0
295,송파구,송파동,0,1,0
296,용산구,이태원동,0,1,0
297,강동구,둔촌동,0,1,0
298,송파구,신천동,0,1,0
299,동작구,사당동,0,1,0
300,관악구,봉천동,0,1,0
301,동대문구,이문동,0,1,0
302,강남구,개포동,0,1,0
303,중랑구,면목동,0,1,0
304,양천구,신정동,0,1,0
305,종로구,종로6가,0,1,0
306,은평구,불광동,0,1,0
307,강서구,마곡동,0,1,0
308,강서구,등촌동,0,1,1
309,강동구,천호동,0,1,0
310,동대문구,장안동,0,1,0
311,양천구,신정동,0,1,0
312,광진구,구의동,0,1,0
313,노원구,상계동,0,1,0
314,동작구,대방동,0,1,0
315,송파구,가락동,0,1,0
316,성북구,정릉동,0,1,0
317,동대문구,청량리동,0,1,0
318,중랑구,묵동,0,1,0
319,관악구,봉천동,0,1,0
320,노원구,중계동,0,1,0
321,동대문구,신설동,0,1,0
322,송파구,마천동,0,1,0
323,마포구,서교동,0,1,0
324,강남구,대치동,0,1,1
325,관악구,신림동,0,1,0
326,강서구,화곡동,0,1,0
327,용산구,갈월동,0,1,0
328,중랑구,신내동,0,1,0
329,영등포구,양평동4가,0,1,1
330,성동구,성수동2가,0,1,0
331,관악구,봉천동,0,1,0
332,동대문구,장안동,0,2,0
333,노원구,하계동,0,1,0
334,동대문구,장안동,0,1,0
335,구로구,개봉동,0,1,0
336,중랑구,면목동,0,1,0
337,양천구,신정동,0,1,0
338,강남구,대치동,0,1,0
339,서초구,양재동,0,1,0
340,중랑구,망우동,0,1,0
341,종로구,종로5가,0,1,0
342,성동구,금호동1가,0,1,0
343,노원구,상계동,0,1,0
344,성동구,성수동1가,0,1,0
345,강남구,대치동,0,1,0
346,성북구,삼선동2가,0,1,0
347,서대문구,북가좌동,0,1,0
348,성북구,안암동5가,0,1,0
349,성북구,종암동,0,1,0
350,성북구,정릉동,0,1,0
351,송파구,장지동,1,0,2
352,종로구,창신동,0,1,0
353,중랑구,면목동,0,1,0
354,강남구,역삼동,0,1,0
355,강남구,논현동,0,1,0
