행정구,행정동,행정동코드,생활인구
노원구,중계1동,11350621,"25,816"
노원구,중계4동,11350624,"15,909"
노원구,중계2.3동,11350625,"33,221"
노원구,상계1동,11350630,"36,745"
노원구,상계2동,11350640,"29,745"
노원구,상계3.4동,11350665,"20,295"
노원구,상계5동,11350670,"18,249"
노원구,상계6.7동,11350695,"47,244"
노원구,상계8동,11350700,"17,615"
노원구,상계9동,11350710,"18,628"
노원구,상계10동,11350720,"13,356"
은평구,녹번동,11380510,"33,717"
은평구,불광1동,11380520,"29,139"
은평구,불광2동,11380530,"21,400"
은평구,갈현1동,11380551,"23,815"
은평구,갈현2동,11380552,"22,612"
은평구,구산동,11380560,"24,661"
은평구,대조동,11380570,"40,579"
은평구,응암1동,11380580,"23,907"
은평구,응암2동,11380590,"14,835"
은평구,응암3동,11380600,"23,698"
은평구,역촌동,11380625,"42,058"
은평구,신사1동,11380631,"23,723"
은평구,신사2동,11380632,"12,806"
은평구,증산동,11380640,"14,971"
은평구,수색동,11380650,"12,325"
은평구,진관동,11380690,"62,844"
서대문구,천연동,11410520,"15,977"
서대문구,북아현동,11410555,"37,843"
서대문구,충현동,11410565,"40,110"
서대문구,신촌동,11410585,"54,462"
서대문구,연희동,11410615,"35,821"
서대문구,홍제1동,11410620,"22,770"
서대문구,홍제3동,11410640,"15,499"
서대문구,홍제2동,11410655,"10,635"
서대문구,홍은1동,11410660,"14,373"
서대문구,홍은2동,11410685,"23,583"
서대문구,남가좌1동,11410690,"6,925"
서대문구,남가좌2동,11410700,"18,211"
서대문구,북가좌1동,11410710,"14,778"
서대문구,북가좌2동,11410720,"36,300"
마포구,아현동,11440555,"25,447"
마포구,공덕동,11440565,"39,172"
마포구,도화동,11440585,"16,878"
마포구,용강동,11440590,"31,535"
마포구,대흥동,11440600,"22,159"
마포구,염리동,11440610,"10,856"
마포구,신수동,11440630,"17,843"
마포구,서강동,11440655,"26,302"
마포구,서교동,11440660,"74,251"
마포구,합정동,11440680,"23,209"
마포구,망원1동,11440690,"20,374"
마포구,망원2동,11440700,"16,684"
마포구,연남동,11440710,"18,810"
마포구,성산1동,11440720,"21,778"
마포구,성산2동,11440730,"35,582"
마포구,상암동,11440740,"47,615"
양천구,목1동,11470510,"47,161"
양천구,목2동,11470520,"22,630"
양천구,목3동,11470530,"17,257"
양천구,목4동,11470540,"18,170"
양천구,목5동,11470550,"37,837"
양천구,신월1동,11470560,"14,793"
양천구,신월2동,11470570,"14,165"
양천구,신월3동,11470580,"13,417"
양천구,신월4동,11470590,"11,414"
양천구,신월5동,11470600,"8,269"
양천구,신월6동,11470610,"4,070"
양천구,신월7동,11470611,"16,065"
양천구,신정1동,11470620,"18,302"
양천구,신정2동,11470630,"13,685"
양천구,신정3동,11470640,"42,195"
양천구,신정4동,11470650,"32,473"
양천구,신정6동,11470670,"18,486"
양천구,신정7동,11470680,"20,687"
강서구,염창동,11500510,"30,781"
강서구,등촌1동,11500520,"22,214"
강서구,등촌2동,11500530,"15,977"
강서구,등촌3동,11500535,"39,672"
강서구,화곡1동,11500540,"48,586"
강서구,화곡2동,11500550,"13,082"
강서구,화곡3동,11500560,"19,864"
강서구,화곡4동,11500570,"16,995"
강서구,화곡본동,11500590,"28,260"
강서구,화곡6동,11500591,"20,373"
강서구,화곡8동,11500593,"26,527"
강서구,가양1동,11500603,"50,311"
강서구,가양2동,11500604,"14,565"
강서구,가양3동,11500605,"10,333"
강서구,발산1동,11500611,"35,295"
강서구,우장산동,11500615,"32,164"
강서구,공항동,11500620,"34,201"
강서구,방화1동,11500630,"32,242"
강서구,방화2동,11500640,"25,797"
강서구,방화3동,11500641,"16,971"
구로구,신도림동,11530510,"32,957"
구로구,구로1동,11530520,"16,938"
구로구,구로2동,11530530,"33,443"
구로구,구로3동,11530540,"41,354"
구로구,구로4동,11530550,"18,240"
구로구,구로5동,11530560,"32,551"
구로구,가리봉동,11530595,"11,309"
구로구,고척1동,11530720,"21,995"
구로구,고척2동,11530730,"17,097"
구로구,개봉1동,11530740,"28,724"
구로구,개봉2동,11530750,"22,180"
구로구,개봉3동,11530760,"17,136"
구로구,오류1동,11530770,"14,712"
구로구,오류2동,11530780,"50,915"
구로구,수궁동,11530790,"22,064"
금천구,가산동,11545510,"60,073"
금천구,독산1동,11545610,"34,226"
금천구,독산2동,11545620,"14,101"
금천구,독산3동,11545630,"22,045"
금천구,독산4동,11545640,"11,454"
금천구,시흥1동,11545670,"27,398"
금천구,시흥2동,11545680,"15,241"
금천구,시흥3동,11545690,"10,169"
금천구,시흥4동,11545700,"11,811"
금천구,시흥5동,11545710,"11,655"
영등포구,영등포본동,11560515,"19,106"
영등포구,영등포동,11560535,"52,908"
영등포구,여의동,11560540,"93,805"
영등포구,당산1동,11560550,"25,422"
영등포구,당산2동,11560560,"36,745"
영등포구,도림동,11560585,"14,379"
영등포구,문래동,11560605,"38,798"
영등포구,양평1동,11560610,"19,063"
영등포구,양평2동,11560620,"28,489"
영등포구,신길1동,11560630,"17,441"
영등포구,신길3동,11560650,"12,770"
영등포구,신길4동,11560660,"7,530"
영등포구,신길5동,11560670,"11,004"
영등포구,신길6동,11560680,"21,594"
영등포구,신길7동,11560690,"13,148"
영등포구,대림1동,11560700,"16,566"
영등포구,대림2동,11560710,"18,937"
영등포구,대림3동,11560720,"25,170"
동작구,노량진1동,11590510,"35,625"
동작구,노량진2동,11590520,"18,209"
동작구,상도1동,11590530,"43,167"
동작구,상도2동,11590540,"22,042"
동작구,상도3동,11590550,"18,251"
동작구,상도4동,11590560,"21,391"
동작구,흑석동,11590605,"31,408"
동작구,사당1동,11590620,"25,856"
동작구,사당2동,11590630,"31,559"
동작구,사당3동,11590640,"20,724"
동작구,사당4동,11590650,"11,757"
동작구,사당5동,11590651,"10,798"
동작구,대방동,11590660,"40,643"
동작구,신대방1동,11590670,"16,715"
동작구,신대방2동,11590680,"25,210"
관악구,보라매동,11620525,"16,359"
관악구,청림동,11620545,"10,527"
관악구,성현동,11620565,"22,292"
관악구,행운동,11620575,"23,076"
관악구,낙성대동,11620585,"23,085"
관악구,청룡동,11620595,"38,558"
관악구,은천동,11620605,"28,809"
관악구,중앙동,11620615,"15,531"
관악구,인헌동,11620625,"24,971"
관악구,남현동,11620630,"23,505"
관악구,서원동,11620645,"22,592"
관악구,신원동,11620655,"16,609"
관악구,서림동,11620665,"16,334"
관악구,신사동,11620685,"20,920"
관악구,신림동,11620695,"30,427"
관악구,난향동,11620715,"10,339"
관악구,조원동,11620725,"27,902"
관악구,대학동,11620735,"31,972"
관악구,삼성동,11620745,"19,843"
관악구,미성동,11620765,"20,871"
관악구,난곡동,11620775,"17,799"
서초구,서초1동,11650510,"30,732"
서초구,서초2동,11650520,"46,454"
서초구,서초3동,11650530,"64,569"
서초구,서초4동,11650531,"43,755"
서초구,잠원동,11650540,"33,623"
서초구,반포본동,11650550,"2,956"
서초구,반포1동,11650560,"32,991"
서초구,반포2동,11650570,"16,650"
서초구,반포3동,11650580,"23,141"
서초구,반포4동,11650581,"43,288"
서초구,방배본동,11650590,"18,349"
서초구,방배1동,11650600,"20,350"
서초구,방배2동,11650610,"20,683"
서초구,방배3동,11650620,"17,532"
서초구,방배4동,11650621,"27,254"
서초구,양재1동,11650651,"53,856"
서초구,양재2동,11650652,"38,177"
서초구,내곡동,11650660,"25,426"
강남구,신사동,11680510,"37,805"
강남구,논현1동,11680521,"44,019"
강남구,논현2동,11680531,"44,600"
강남구,압구정동,11680545,"44,405"
강남구,청담동,11680565,"43,384"
강남구,삼성1동,11680580,"43,898"
강남구,삼성2동,11680590,"40,380"
강남구,대치1동,11680600,"28,354"
강남구,대치2동,11680610,"50,253"
강남구,대치4동,11680630,"41,336"
강남구,역삼1동,11680640,"109,277"
강남구,역삼2동,11680650,"54,676"
강남구,도곡1동,11680655,"35,752"
강남구,도곡2동,11680656,"29,859"
강남구,개포1동,11680660,"8,830"
강남구,개포2동,11680670,"24,976"
강남구,개포4동,11680690,"16,024"
강남구,세곡동,11680700,"44,886"
강남구,일원본동,11680720,"24,822"
강남구,일원1동,11680730,"15,710"
강남구,일원2동,11680740,"16,432"
강남구,수서동,11680750,"23,720"
송파구,풍납1동,11710510,"15,392"
송파구,풍납2동,11710520,"35,924"
송파구,거여1동,11710531,"12,424"
송파구,거여2동,11710532,"19,087"
송파구,마천1동,11710540,"12,399"
송파구,마천2동,11710550,"14,905"
송파구,방이1동,11710561,"17,699"
송파구,방이2동,11710562,"36,414"
송파구,오륜동,11710566,"17,494"
송파구,오금동,11710570,"36,364"
송파구,송파1동,11710580,"30,626"
송파구,송파2동,11710590,"18,905"
송파구,석촌동,11710600,"28,987"
송파구,삼전동,11710610,"30,645"
송파구,가락본동,11710620,"38,446"
송파구,가락1동,11710631,"26,012"
송파구,가락2동,11710632,"25,983"
송파구,문정1동,11710641,"20,702"
송파구,문정2동,11710642,"40,784"
송파구,장지동,11710646,"34,212"
송파구,위례동,11710647,"42,702"
송파구,잠실본동,11710650,"34,362"
송파구,잠실2동,11710670,"33,590"
송파구,잠실3동,11710680,"47,399"
송파구,잠실4동,11710690,"20,122"
송파구,잠실6동,11710710,"42,244"
송파구,잠실7동,11710720,"10,299"
