구_x,행정동,1인가구,행정동코드,생활인구,도로면적,사망자수,중상자수,경상자수
광진구,자양4동,3751,11215847.0,26126.0,0.334428,0.0,0.0,0.0
동대문구,회기동,4044,11230710.0,19814.0,0.168416,0.0,17.0,3.0
동대문구,휘경1동,3336,11230720.0,16572.0,0.139608,1.0,30.0,2.0
동대문구,휘경2동,4785,11230730.0,19956.0,0.23268,0.0,0.0,0.0
동대문구,청량리동,3236,11230705.0,18344.0,0.26592,0.0,29.0,7.0
동대문구,용신동,8464,11230536.0,40981.0,0.356776,2.0,88.0,6.0
동대문구,제기동,5399,11230545.0,32853.0,0.261488,1.0,54.0,6.0
동대문구,전농1동,5814,11230560.0,29657.0,0.263704,2.0,54.0,6.0
동대문구,전농2동,1691,11230570.0,16018.0,0.190576,0.0,0.0,0.0
동대문구,답십리1동,3717,11230600.0,23378.0,0.179496,2.0,81.0,7.0
동대문구,답십리2동,3448,11230610.0,21887.0,0.18836,0.0,1.0,0.0
동대문구,장안1동,5502,11230650.0,34611.0,0.277,3.0,103.0,8.0
동대문구,장안2동,3212,11230660.0,27277.0,0.241544,0.0,0.0,0.0
동대문구,이문1동,5774,11230740.0,22796.0,0.230464,2.0,40.0,3.0
동대문구,이문2동,2503,11230750.0,14771.0,0.152904,0.0,0.0,0.0
중랑구,면목2동,3974,11260520.0,20621.0,0.200277,3.0,154.0,26.0
중랑구,면목4동,2678,11260540.0,17166.0,0.226287,0.0,2.0,0.0
중랑구,면목5동,1540,11260550.0,11044.0,0.18207,0.0,1.0,0.0
중랑구,면목7동,3294,11260570.0,18893.0,0.31212,0.0,1.0,0.0
중랑구,상봉1동,2377,11260580.0,17480.0,0.228888,0.0,71.0,12.0
중랑구,상봉2동,5309,11260590.0,26250.0,0.169065,0.0,0.0,0.0
중랑구,중화1동,2353,11260600.0,16755.0,0.166464,0.0,60.0,5.0
중랑구,중화2동,5455,11260610.0,24183.0,0.262701,0.0,0.0,0.0
중랑구,묵1동,3741,11260620.0,25423.0,0.31212,0.0,50.0,8.0
중랑구,묵2동,3049,11260630.0,18842.0,0.174267,0.0,1.0,0.0
중랑구,망우3동,2695,11260660.0,11913.0,0.239292,0.0,45.0,9.0
중랑구,신내1동,2426,11260680.0,34433.0,0.665856,0.0,42.0,11.0
중랑구,신내2동,2273,11260690.0,17140.0,0.241893,0.0,0.0,0.0
중랑구,면목본동,6360,11260565.0,26543.0,0.218484,0.0,1.0,0.0
중랑구,면목3.8동,4347,11260575.0,19596.0,0.423963,0.0,1.0,0.0
중랑구,망우본동,4734,11260655.0,38742.0,0.788103,0.0,1.0,0.0
성북구,돈암1동,1385,11290580.0,12679.0,0.115591,0.0,18.0,6.0
성북구,돈암2동,1188,11290590.0,13619.0,0.113232,0.0,3.0,1.0
성북구,안암동,5964,11290600.0,22949.0,0.313747,0.0,33.0,0.0
성북구,보문동,3011,11290610.0,15848.0,0.132104,1.0,19.0,6.0
성북구,정릉1동,1819,11290620.0,13843.0,0.103796,1.0,44.0,1.0
성북구,정릉2동,2284,11290630.0,19638.0,0.276003,0.0,0.0,0.0
성북구,정릉3동,3255,11290640.0,14690.0,0.875189,0.0,0.0,0.0
성북구,정릉4동,2659,11290650.0,17963.0,0.738367,0.0,0.0,0.0
성북구,길음1동,1721,11290660.0,34428.0,0.186361,2.0,22.0,2.0
성북구,길음2동,1666,11290685.0,19143.0,0.136822,0.0,2.0,0.0
성북구,월곡1동,2454,11290715.0,24836.0,0.191079,1.0,7.0,0.0
성북구,월곡2동,3767,11290725.0,22549.0,0.320824,1.0,44.0,3.0
성북구,장위1동,2487,11290760.0,20724.0,0.16513,6.0,37.0,8.0
성북구,장위2동,2030,11290770.0,11821.0,0.158053,0.0,0.0,0.0
성북구,장위3동,1839,11290780.0,7242.0,0.153335,0.0,0.0,0.0
성북구,성북동,2945,11290525.0,21015.0,0.674674,0.0,23.0,2.0
성북구,삼선동,4790,11290555.0,25648.0,0.217028,0.0,18.0,2.0
성북구,동선동,5186,11290575.0,24597.0,0.172207,1.0,22.0,3.0
성북구,종암동,5568,11290705.0,36442.0,0.344414,0.0,43.0,4.0
성북구,석관동,5492,11290810.0,26794.0,0.408107,0.0,25.0,3.0
강북구,번1동,4380,11305590.0,17591.0,0.138138,4.0,56.0,10.0
강북구,번2동,2250,11305600.0,12961.0,0.198835,0.0,0.0,0.0
강북구,번3동,2002,11305606.0,14642.0,0.23023,0.0,0.0,0.0
강북구,수유1동,3467,11305610.0,17275.0,0.349531,1.0,124.0,26.0
강북구,수유2동,2674,11305620.0,18019.0,0.119301,0.0,0.0,0.0
강북구,수유3동,5632,11305630.0,27965.0,0.150696,0.0,0.0,0.0
강북구,삼양동,3023,11305534.0,22650.0,0.190463,0.0,0.0,0.0
강북구,미아동,4807,11305535.0,22843.0,0.194649,1.0,135.0,31.0
강북구,송중동,4548,11305545.0,34668.0,0.211393,1.0,9.0,0.0
강북구,송천동,4508,11305555.0,26686.0,0.18837,0.0,1.0,0.0
강북구,삼각산동,2021,11305575.0,21404.0,0.129766,0.0,0.0,0.0
강북구,우이동,2436,11305645.0,19350.0,2.151604,1.0,5.0,0.0
강북구,인수동,3937,11305660.0,28270.0,0.686504,0.0,0.0,0.0
도봉구,쌍문1동,2489,11320660.0,17033.0,0.235848,0.0,64.0,16.0
도봉구,쌍문2동,2457,11320670.0,17291.0,0.102708,0.0,0.0,0.0
도봉구,쌍문3동,2761,11320680.0,15664.0,0.0951,0.0,0.0,0.0
도봉구,쌍문4동,1238,11320681.0,13752.0,0.098904,0.0,0.0,0.0
도봉구,방학1동,3502,11320690.0,23594.0,0.131238,0.0,51.0,6.0
도봉구,방학2동,2768,11320700.0,11695.0,0.140748,0.0,0.0,0.0
도봉구,방학3동,1399,11320710.0,19909.0,0.498324,0.0,0.0,0.0
도봉구,창1동,2919,11320511.0,22343.0,0.167376,2.0,59.0,13.0
도봉구,창2동,2889,11320512.0,28293.0,0.19971,0.0,0.0,0.0
도봉구,창3동,1901,11320513.0,10495.0,0.127434,0.0,0.0,0.0
도봉구,창4동,2256,11320514.0,28551.0,0.18069,0.0,0.0,0.0
도봉구,창5동,2347,11320515.0,19323.0,0.13314,0.0,0.0,0.0
도봉구,도봉1동,3023,11320521.0,18577.0,1.658544,2.0,37.0,4.0
도봉구,도봉2동,2935,11320522.0,19278.0,0.157866,0.0,3.0,0.0
노원구,월계1동,3440,11350560.0,21766.0,0.275036,0.0,47.0,7.0
노원구,월계2동,3531,11350570.0,19077.0,0.459974,0.0,0.0,0.0
노원구,월계3동,3359,11350580.0,24852.0,0.277407,0.0,0.0,0.0
노원구,공릉2동,4783,11350600.0,42777.0,1.617022,0.0,4.0,0.0
노원구,하계1동,3265,11350611.0,25475.0,0.367505,0.0,35.0,2.0
노원구,하계2동,1481,11350612.0,14929.0,0.120921,0.0,0.0,0.0
노원구,중계본동,1105,11350619.0,20543.0,0.467087,0.0,0.0,0.0
노원구,중계1동,1070,11350621.0,25816.0,0.149373,2.0,46.0,3.0
노원구,중계4동,2081,11350624.0,15909.0,0.40307,0.0,0.0,0.0
노원구,상계1동,3454,11350630.0,36745.0,1.332502,0.0,6.0,0.0
노원구,상계2동,2415,11350640.0,29745.0,0.144631,0.0,1.0,0.0
노원구,상계5동,3030,11350670.0,18249.0,0.239471,0.0,0.0,0.0
노원구,상계8동,1954,11350700.0,17615.0,0.158857,0.0,0.0,0.0
노원구,상계9동,1765,11350710.0,18628.0,0.192051,0.0,0.0,0.0
노원구,상계10동,1431,11350720.0,13356.0,0.18968,2.0,137.0,35.0
노원구,상계3.4동,3275,11350665.0,20295.0,1.197355,0.0,0.0,0.0
노원구,상계6.7동,3524,11350695.0,47244.0,0.263181,0.0,0.0,0.0
노원구,중계2.3동,4119,11350625.0,33221.0,0.21339,0.0,0.0,0.0
노원구,공릉1동,7356,11350595.0,42609.0,0.334311,1.0,78.0,14.0
은평구,녹번동,5033,11380510.0,33717.0,0.395232,1.0,27.0,10.0
은평구,불광1동,4730,11380520.0,29139.0,0.691104,1.0,24.0,18.0
은평구,갈현1동,3373,11380551.0,23815.0,0.214176,0.0,23.0,5.0
은평구,갈현2동,3136,11380552.0,22612.0,0.211968,0.0,3.0,0.0
은평구,구산동,2785,11380560.0,24661.0,0.304704,0.0,14.0,3.0
은평구,대조동,5597,11380570.0,40579.0,0.18768,1.0,19.0,5.0
은평구,응암1동,3771,11380580.0,23907.0,0.26496,0.0,34.0,5.0
은평구,응암2동,2171,11380590.0,14835.0,0.172224,0.0,0.0,0.0
